Gd,Co,Fe,Ce,Pt
402.4163,76.80737,204.9342,337.6766,699.4257
337.0657,90.31799,192.2139,350.2718,624.4305
347.441,62.77158,235.5814,382.9165,646.7899
340.9258,82.6785,192.3342,365.4641,606.4684
407.9155,83.53658,216.0594,379.1108,678.9388
371.1591,95.71504,256.3801,383.3155,690.9885
420.6566,74.40327,202.6511,370.665,773.097
403.8661,59.91646,212.7152,353.7097,827.8438
401.4037,78.00013,223.554,375.7132,768.1246
355.9966,96.2821,226.1071,378.2067,727.2067
359.595,99.72802,196.6838,362.4714,741.9991
368.7741,72.32463,199.0813,373.0195,779.4244
384.9402,67.55637,246.8714,399.6467,801.08
346.5588,71.02549,193.7898,328.2514,783.0075
387.0966,92.82678,203.4753,341.5733,764.8063
342.426,101.5367,226.1096,391.8885,784.7903
331.5619,68.08768,206.876,401.1149,799.3959
362.2488,60.17414,187.0204,387.8,755.0695
317.511,72.1035,187.8063,412.1789,785.5925
337.5005,54.32789,176.2259,398.9304,817.7809
325.3241,65.96157,160.0142,446.5963,801.921
317.0656,76.87119,141.685,426.5859,839.141
253.1573,59.82928,153.0023,432.6724,769.6981
224.7774,84.1223,152.9798,475.3195,833.4263
221.1466,43.45131,136.8798,476.0145,795.5441
193.1591,47.49655,117.9717,495.734,808.7726
171.0603,44.19244,84.80816,533.3622,833.4639
171.9396,57.15805,123.0202,525.0477,802.1641
167.6474,80.71829,75.30931,492.9059,810.6879
146.6598,51.51782,81.88542,466.8602,831.5828
142.5223,52.51098,96.58651,518.2271,815.0485
179.3192,56.62398,106.3225,537.1786,761.5945
165.9603,61.40014,76.2557,589.554,880.5022
141.8814,72.83527,101.0891,581.4082,920.8609
157.9028,46.9665,98.84558,568.4359,948.5414
139.9092,56.02176,102.3262,511.4825,858.0302
180.1094,58.93516,85.54565,560.1451,844.6766
144.2203,67.6395,97.85394,556.4697,796.0161
151.9874,79.55004,103.9874,555.3818,876.5064
155.6227,67.24189,81.92578,542.0235,824.571
180.3885,54.64543,116.7763,565.9839,853.9124
159.7982,70.28141,118.9278,605.6393,931.8271
144.446,98.50726,111.6682,557.3857,922.1453
154.9527,97.08625,164.9063,479.0271,998.0917
167.4153,96.74168,166.3617,523.5952,926.1266
137.6623,108.168,241.68,530.1487,1040.321
110.0158,195.4803,258.0847,430.4596,996.4354
146.0523,199.2342,325.3318,341.7631,1029.98
128.4491,272.3841,412.1015,319.0168,915.6556
132.2093,315.2987,438.411,293.7188,976.2626
83.65521,317.5708,511.0583,277.8517,993.9846
105.2711,384.3737,510.0782,219.0095,978.3713
81.453,388.8427,478.025,216.689,911.7335
59.39313,402.8694,529.0708,192.1182,957.0236
93.21347,395.7521,558.5597,205.4326,932.1346
112.6069,401.416,588.5031,181.7384,923.002
85.3765,385.5207,606.0669,189.2595,874.5457
74.18317,388.0304,512.3416,168.0417,875.4756
84.78468,394.895,573.986,176.3159,907.166
95.29114,426.1152,548.6666,160.2795,842.9396
62.09114,438.3143,642.5137,185.6319,925.1829
84.88179,454.9222,647.6574,153.6618,927.9983
77.10835,440.3861,672.3629,176.9246,951.2932
79.46951,442.7566,658.6441,156.0546,875.403
69.37321,444.6745,646.9982,181.3235,880.175
57.31474,466.2501,611.8726,150.1708,816.5911
69.22829,416.8676,668.4344,165.5293,839.4978
63.15091,471.6786,723.3605,156.901,789.649
68.71875,479.9325,651.6141,114.5877,845.2972
78.86485,441.8017,649.1134,130.3139,788.0356
93.12718,420.7625,717.3535,128.1252,757.0054
89.18941,486.3505,649.0321,129.9524,818.3256
79.1001,498.4772,679.2857,186.7042,932.3873
107.2534,480.2231,630.5925,131.3692,927.7517
107.5275,483.8911,647.3873,127.6322,939.1848
70.51619,459.6915,671.8685,151.1568,912.2905
58.77567,449.1024,637.674,125.1954,896.5521
59.86756,462.6333,645.2937,177.925,857.9423
89.45741,509.5638,702.6561,133.096,856.1447
69.43339,495.1539,756.3318,135.0399,869.2978
62.37383,529.3892,677.1559,139.8813,807.9251
67.00317,474.4344,699.8981,152.1158,800.8512
49.80156,499.5938,741.8268,163.544,841.8516
115.2347,511.2428,648.4572,136.6825,805.7264
88.59001,473.4102,715.4168,131.6688,863.1216
90.2942,489.8017,688.7708,158.2819,838.1454
97.52888,498.7173,721.196,182.6723,772.819
66.2177,487.3152,687.3171,154.1122,764.5278
76.3403,507.502,674.0923,154.8761,763.9644
68.99311,484.2204,702.3665,132.4611,797.6021
68.11809,507.1847,681.3989,168.3658,799.5264
85.22845,470.0026,694.1957,170.2343,747.0862
73.10976,504.8763,662.2495,170.9405,822.1509
80.38873,504.6668,674.7106,154.5639,760.5388
74.72293,503.5576,641.0233,182.207,756.3232
67.02428,509.1017,730.0853,166.9954,786.4595
109.3739,486.5632,760.8022,175.3619,729.0816
83.09336,478.998,651.1011,166.9759,737.5848
88.14467,475.2003,702.4199,181.1976,728.9397
